,CampusKey,SiteKey,Timestamp,SolarGeneration,time
696568,3,12,2020-01-02 01:30:00,0.0,01:30:00
696569,3,12,2020-01-02 01:45:00,0.0,01:45:00
696570,3,12,2020-01-02 02:00:00,0.0,02:00:00
696571,3,12,2020-01-02 02:15:00,0.0,02:15:00
696572,3,12,2020-01-02 02:30:00,0.0,02:30:00
696573,3,12,2020-01-02 02:45:00,0.0,02:45:00
696574,3,12,2020-01-02 03:00:00,0.0,03:00:00
696575,3,12,2020-01-02 03:15:00,0.0,03:15:00
696576,3,12,2020-01-02 03:30:00,0.0,03:30:00
696577,3,12,2020-01-02 03:45:00,0.0,03:45:00
696578,3,12,2020-01-02 04:00:00,0.0,04:00:00
696579,3,12,2020-01-02 04:15:00,0.0,04:15:00
696580,3,12,2020-01-02 04:30:00,0.0,04:30:00
696581,3,12,2020-01-02 04:45:00,0.0,04:45:00
696582,3,12,2020-01-02 05:00:00,0.0,05:00:00
696583,3,12,2020-01-02 05:15:00,0.0,05:15:00
696584,3,12,2020-01-02 05:30:00,0.0,05:30:00
696585,3,12,2020-01-02 05:45:00,0.0,05:45:00
696586,3,12,2020-01-02 06:00:00,0.0,06:00:00
696587,3,12,2020-01-02 06:15:00,0.0,06:15:00
696588,3,12,2020-01-02 06:30:00,0.125,06:30:00
696589,3,12,2020-01-02 06:45:00,0.218799999973271,06:45:00
696590,3,12,2020-01-02 07:00:00,0.375,07:00:00
696591,3,12,2020-01-02 07:15:00,0.5625,07:15:00
696592,3,12,2020-01-02 07:30:00,1.031200000026729,07:30:00
696593,3,12,2020-01-02 07:45:00,1.6562999999732708,07:45:00
696594,3,12,2020-01-02 08:00:00,2.468700000026729,08:00:00
696595,3,12,2020-01-02 08:15:00,3.5937999999732715,08:15:00
696596,3,12,2020-01-02 08:30:00,4.75,08:30:00
696597,3,12,2020-01-02 08:45:00,5.9375,08:45:00
696598,3,12,2020-01-02 09:00:00,7.218700000026729,09:00:00
696599,3,12,2020-01-02 09:15:00,8.375,09:15:00
696600,3,12,2020-01-02 09:30:00,9.281299999973273,09:30:00
696601,3,12,2020-01-02 09:45:00,10.281200000026727,09:45:00
696602,3,12,2020-01-02 10:00:00,11.156299999973273,10:00:00
696603,3,12,2020-01-02 10:15:00,12.0625,10:15:00
696604,3,12,2020-01-02 10:30:00,12.8125,10:30:00
696605,3,12,2020-01-02 10:45:00,13.375,10:45:00
696606,3,12,2020-01-02 11:00:00,14.0,11:00:00
696607,3,12,2020-01-02 11:15:00,14.531200000026727,11:15:00
696608,3,12,2020-01-02 11:30:00,15.156299999973273,11:30:00
696609,3,12,2020-01-02 11:45:00,15.656200000026727,11:45:00
696610,3,12,2020-01-02 12:00:00,16.125,12:00:00
696611,3,12,2020-01-02 12:15:00,16.406299999973267,12:15:00
696612,3,12,2020-01-02 12:30:00,16.781200000026733,12:30:00
696613,3,12,2020-01-02 12:45:00,17.25,12:45:00
696614,3,12,2020-01-02 13:00:00,17.406299999973267,13:00:00
696615,3,12,2020-01-02 13:15:00,15.718700000026727,13:15:00
696616,3,12,2020-01-02 13:30:00,17.375,13:30:00
696617,3,12,2020-01-02 13:45:00,17.375,13:45:00
696618,3,12,2020-01-02 14:00:00,17.3125,14:00:00
696619,3,12,2020-01-02 14:15:00,17.1875,14:15:00
696620,3,12,2020-01-02 14:30:00,16.6875,14:30:00
696621,3,12,2020-01-02 14:45:00,15.781299999973273,14:45:00
696622,3,12,2020-01-02 15:00:00,15.6875,15:00:00
696623,3,12,2020-01-02 15:15:00,15.4375,15:15:00
696624,3,12,2020-01-02 15:30:00,15.0,15:30:00
696625,3,12,2020-01-02 15:45:00,14.406200000026727,15:45:00
696626,3,12,2020-01-02 16:00:00,14.1875,16:00:00
696627,3,12,2020-01-02 16:15:00,13.843799999973273,16:15:00
696628,3,12,2020-01-02 16:30:00,13.218700000026727,16:30:00
696629,3,12,2020-01-02 16:45:00,12.375,16:45:00
696630,3,12,2020-01-02 17:00:00,9.968799999973273,17:00:00
696631,3,12,2020-01-02 17:15:00,10.875,17:15:00
696632,3,12,2020-01-02 17:30:00,9.6875,17:30:00
696633,3,12,2020-01-02 17:45:00,8.343700000026729,17:45:00
696634,3,12,2020-01-02 18:00:00,7.375,18:00:00
696635,3,12,2020-01-02 18:15:00,6.031299999973271,18:15:00
696636,3,12,2020-01-02 18:30:00,5.0625,18:30:00
696637,3,12,2020-01-02 18:45:00,4.031200000026728,18:45:00
696638,3,12,2020-01-02 19:00:00,2.9375,19:00:00
696639,3,12,2020-01-02 19:15:00,2.0625,19:15:00
696640,3,12,2020-01-02 19:30:00,1.25,19:30:00
696641,3,12,2020-01-02 19:45:00,0.843799999973271,19:45:00
696642,3,12,2020-01-02 20:00:00,0.6875,20:00:00
696643,3,12,2020-01-02 20:15:00,0.468700000026729,20:15:00
696644,3,12,2020-01-02 20:30:00,0.281299999973271,20:30:00
696645,3,12,2020-01-02 20:45:00,0.0,20:45:00
696646,3,12,2020-01-02 21:00:00,0.0,21:00:00
696647,3,12,2020-01-02 21:15:00,0.0,21:15:00
696648,3,12,2020-01-02 21:30:00,0.0,21:30:00
696649,3,12,2020-01-02 21:45:00,0.0,21:45:00
696650,3,12,2020-01-02 22:00:00,0.0,22:00:00
696651,3,12,2020-01-02 22:15:00,0.0,22:15:00
696652,3,12,2020-01-02 22:30:00,0.0,22:30:00
696653,3,12,2020-01-02 22:45:00,0.0,22:45:00
696654,3,12,2020-01-02 23:00:00,0.0,23:00:00
696655,3,12,2020-01-02 23:15:00,0.0,23:15:00
696656,3,12,2020-01-02 23:30:00,0.0,23:30:00
696657,3,12,2020-01-02 23:45:00,0.0,23:45:00
696658,3,12,2020-01-03 00:00:00,0.0,00:00:00
696659,3,12,2020-01-03 00:15:00,0.0,00:15:00
696660,3,12,2020-01-03 00:30:00,0.0,00:30:00
696661,3,12,2020-01-03 00:45:00,0.0,00:45:00
696662,3,12,2020-01-03 01:00:00,0.0,01:00:00
696663,3,12,2020-01-03 01:15:00,0.0,01:15:00
696664,3,12,2020-01-03 01:30:00,0.0,01:30:00
696665,3,12,2020-01-03 01:45:00,0.0,01:45:00
696666,3,12,2020-01-03 02:00:00,0.0,02:00:00
696667,3,12,2020-01-03 02:15:00,0.0,02:15:00
696668,3,12,2020-01-03 02:30:00,0.0,02:30:00
696669,3,12,2020-01-03 02:45:00,0.0,02:45:00
696670,3,12,2020-01-03 03:00:00,0.0,03:00:00
696671,3,12,2020-01-03 03:15:00,0.0,03:15:00
696672,3,12,2020-01-03 03:30:00,0.0,03:30:00
696673,3,12,2020-01-03 03:45:00,0.0,03:45:00
696674,3,12,2020-01-03 04:00:00,0.0,04:00:00
696675,3,12,2020-01-03 04:15:00,0.0,04:15:00
696676,3,12,2020-01-03 04:30:00,0.0,04:30:00
696677,3,12,2020-01-03 04:45:00,0.0,04:45:00
696678,3,12,2020-01-03 05:00:00,0.0,05:00:00
696679,3,12,2020-01-03 05:15:00,0.0,05:15:00
696680,3,12,2020-01-03 05:30:00,0.0,05:30:00
696681,3,12,2020-01-03 05:45:00,0.0,05:45:00
696682,3,12,2020-01-03 06:00:00,0.0,06:00:00
